Initiative Code,Initiative Name,website id
AM-002,Steakarar restaurant,479752
AM-003,Artlunch food,479852
AM-006,Alluria wines,479952
AR-002,Instituto Nacional de Tecnología Industrial,450652
AR-004,Fundación Alimentaris,450752
AR-005,Zafrán Recetas Honestas,494852
AR-006,Las Quinas,450852
AR-008,Molino Mayal,460052
AR-013,Programa Alimentos de Interés Social / Planta de Alimentos Nutritivos UNL,494752
AR-020,El Comahue beekeepers,450952
AR-021,Federation of Fruit Producers of Río Negro,451052
AR-022,Gordon's farm,451152
AR-025,Zopilote,451252
AR-026,La choza,451352
AR-031,Bio 4 Bioetanol,460152
AR-035,La Julia,
AR-040,Turba Agroecología,451452
AR-043,El Almacén Andante,460252
AR-045,UNIBAIO,451552
AR-046,Wakas,451652
AR-047,Dervinsa,460352
AR-048,Catena Institute of Wine,451752
AR-049,Universo Vigil,460452
AR-052,Bio H41start-up,451852
AR-054,Eiru Tech,451952
AR-055,Denominación de Origen del Chivito Criollo del Norte Neuquino,452052
AR-056,Bodega Des de la Torre,452152
AR-057,Cooperativa de Trabajadores de la Tierra,460552
AR-060,Quesería Ventimiglia,460652
AR-068,ECOMARCAL (Participatory Guarantee System),460752
AR-069,Nehuen,463152
AR-072,Red de alimentos cooperativos patagónicos,460852
AR-073,Janus,494652
AR-075,Cooperativa Ganadera Indígena,463252
AR-076,Grupo Chiavassa. Tambo modelo,460952
AR-077,Keclon,494552
AR-078,Fecundis,494452
AR-079,Colonia Jaime,463352
AR-080,Alcaparras Argentinas,463452
AR-082,La Pebeta,463552
AR-087,Micelio.bio,463652
AR-090,TAXON,463752
AR-091,DEEP AGRO,461052
AR-092,BEAM CropTech,463852
AR-094,Ghretek,461152
AR-098,Casa Vegana,463952
AR-100,AgroJusto,461252
AR-102,INDEGAP,461352
AR-104,Alimentando el Mañana,464052
AR-108,ECAS 🌱 Empresa Cooperativa de Alimento Soberano,464152
AR-132,NutriRaw,
AR-141,La Troja,463052
AR-142,Prodeman,452952
AR-143,Elementa Foods,452852
AR-146,Roll Food,461452
AR-148,La Ciudad Posible,461552
AR-159,Colectivo Agroecológico del Río Negro,452752
AR-167,Aromáticas del Valle,452652
AR-172,Caliz.Bio,452552
AR-178,AABDA Asociación para la Agricultura Biológico-dinámica de Argentina,452452
AR-179,PRODA,452352
AR-185,Finca María del Pilar,452252
CA-002,Lufa Farms,495252
CA-003,Collectif Recolte,495352
CH-003,Ferme des Vergers + La Feve,448952
CH-004,Les Vergers d'Epicure,449052
CH-006,Swiss Food Academy,449152
CH-019,Eaternity,449252
CO-005,AFO Acuaponía INTL SAS,440152
CO-006,Urban Farmers Pro,440252
CO-009,Biosos,440352
CO-011,Nanofreeze (Biocold Technologies S.A.S BIC),443952
CO-013,AMACA GRANDE SAS,440552
CO-014,Fundacion Soydoy,440652
CO-016,Fundación Pan Vivo,440752
CO-019,Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA,455652
CO-020,AGROCLUSTER CO (SINERGY LATAM CG SAS),485152
CO-023,CityHuerta,455152
CO-026,Alpina,440852
CO-032,Agro solidaria Florencia - Utai,455252
CO-033,"Asored - Asociación de operadores de reciclaje, economía circular y desarrollo sostenible",455352
CO-034,Shuska,455552
CO-042,Villa Claudia Farm,440952
CO-057,La Huerta Hotel,441052
CO-060,Ekuox,441252
CO-062,TRULAB,441352
CO-065,MAQUINNOVACIÓN S. A. S.,441452
CO-066,DIEGO MIEL ́S,441552
CO-067,MUNDO ECO SOLUCIONES,455452
CO-068,Granja Tarapacá,485252
CO-072,HOTEL ECOTURISTICO VILLA LUCY,485352
CO-078,ASOCIACIÓN CAFÉ SELLO MUJER,441652
CO-079,RUTA DEL CHOCOLATE,455952
CO-080,ASODELEITE,442452
CO-082,SAFER AGROBIOLÓGICOS S. A. S,485452
CO-084,ECOPLANET SOLUCIONES INTEGRALES S. A. S.,485552
CO-085,Garcabas,455852
CO-087,Fundación SACIAR,455752
CO-089,LIFEPACK,485652
CO-103,CORPORACION AMA S.A.S,456052
CO-108,Impact Hub,456152
CO-112,ASAPIV,456252
CO-114,Apicultura el Rey,456352
CO-118,CORPORACIÓN REGIONAL AGROECOLOGICA-CORA,456452
CO-128,Primitivo Mushroom Coffee,456552
CO-132,Reserva Natural Ecofinca Kañarí,485752
CO-134,Eco Brasas de Colombia,441752
CO-136,ACUAPONÍA EJE RAÍZ,441852
CO-144,SUPPRA,485852
CO-146,RVA COLOMBIA S. A.,456652
CO-152,NUTRIBANANA DE URABA S. A. S.,441952
CO-157,DELICIAS DEL PLÁTANO,485952
CO-180,Honeyland,469752
CO-181,Fish & Farm Coop,469652
CO-182,AGROPAC - Asociación Agropecuaria de Acacias,
CO-183,Piñas del llano,442052
CO-185,TACAY,442152
CO-188,LYNKS S A,486052
CO-192,GREENLAND,442252
CO-194,COMPROAGRO SAS,469552
CO-195,Bosque comestible | Agroecologia,486152
CO-199,ACUAPONICOS COMFUTURO,486252
CO-200,Tierra viva Bio abonos y medio ambiente,469452
CO-206,Biotropical sa (Ideas Biológicas),486352
CO-209,UBEES,486452
CO-217,FLY360,486552
CO-220,ASOCIACIÓN AGROPECUARIA AMBIENTAL DEL SUR DEL TOLIMA,
CO-222,PANGEA,486652
CO-230,FUNDACION TIRREZA,486752
CO-233,MOLINILLITO,486852
CO-238,TICSA TAKAL SAS,486952
CO-252,Profesor Hass,487052
CO-254,Sabores y Vida,487152
CO-259,Sabores SixtaTulia,487252
CO-260,Semillas de vida,487352
CO-268,ESCUELA DE SEMILLAS - ASEAS SAN RAFAEL,487452
CO-269,HUGO RESTREPO Y CIA S.A,487552
CO-270,HERBOLARIO DE GAIA-VALERIA BORRERO,487652
CO-293,Sembrando confianza,487752
CO-297,Friese - Aromatizate,487852
CO-300,Sembramos,487952
CO-301,Alimentando el mañana,488052
CO-302,Selva Nevada,488152
CO-303,AGROINPA,488252
CO-307,POSTOBON,469252
CO-308,MUNICIPIO DE TENJO,488352
CO-309,ALQUERIA,488452
CO-311,CCB - Cluster Seguridad Alimentaria,
CO-312,ACTA,469152
CO-317,ODA,488552
CO-319,Grupo de Diseño de Productos y Procesos (GDPP) de la Universidad de los Andes,469052
CO-320,ATTA,468952
CO-327,Avovite,488652
CO-336,Weia,499552
CO-337,Crepes & Waffles,499652
CO-346,Casa Luker,488752
CO-348,Lilian Robayo - PMMI,
CO-349,Finca San José - Mosquera,499752
CO-350,PlaSA Colombia,488852
CO-355,Cacao Hunters,488952
CO-357,Growing hope (FUNDAEC),489052
CO-361,"Iniciativa Cacao, Bosques y Paz",468852
CO-366,Pura Fruta,489152
CO-367,Finca La Canela,468752
CO-368,Totta Terra,489252
CO-370,Ambientados S.A.S BIC,489352
CO-375,Proyecto Utopía,499852
CO-376,Grupo Smile,489452
CO-378,Growing Hope - Demostrative Regenerative Farm,468652
CO-379,Growing hope- Satelite Farms,489552
CO-380,Growing Hope - Schools,489652
CO-382,Raíces Piangueras,489752
CO-389,Cerveceria La Trocha,489852
CO-392,Biofertil Vital,489952
